Pos,WT_1,WT_2,WT_3,Drho_1,Drho_2,Drho_3,CDS_Median,CDS_two_median,white
33,8.0865,7.8617,7.9663,8.1084,8.2208,8.0585,10.1742,11.1742,2
52,8.04,7.7876,7.9366,8.0773,8.1924,8.0274,10.1742,11.1742,2
71,8.0124,7.7281,7.8927,8.0492,8.1725,7.9953,10.1742,11.1742,2
94,7.9734,7.6576,7.8492,8.0171,8.1411,7.9658,10.1742,11.1742,1
118,7.9697,7.6361,7.8626,8.016,8.1535,7.9771,10.1742,11.1742,1
140,7.94,7.6582,7.8648,8.0106,8.186,7.9707,10.1742,11.1742,1
165,11.7398,10.7243,11.4349,11.4259,10.185,11.5243,10.1742,11.1742,1
187,15.0375,15.3941,15.1558,15.0973,14.6298,14.9545,10.1742,11.1742,1
209,15.07,15.3975,15.1412,15.0997,14.6572,14.9449,10.1742,11.1742,1
230,15.035,15.3767,14.9733,14.9952,14.6741,14.8329,10.1742,11.1742,1
251,15.0256,15.3696,14.9684,14.9553,14.6918,14.7894,10.1742,11.1742,1
275,15.0354,15.3536,14.9616,14.9389,14.7156,14.7839,10.1742,11.1742,1
297,15.0345,15.2945,14.9477,14.8936,14.7121,14.7654,10.1742,11.1742,1
319,15.0291,15.2614,14.9309,14.8676,14.7026,14.7425,10.1742,11.1742,1
341,15.0302,15.2373,14.928,14.859,14.7211,14.7417,10.1742,11.1742,1
363,15.0022,15.1816,14.9155,14.8431,14.7319,14.7407,10.1742,11.1742,1
382,14.8918,15.1376,14.8628,14.8129,14.7248,14.7329,10.1742,11.1742,1
404,14.8456,15.083,14.8517,14.7549,14.7166,14.7291,10.1742,11.1742,1
422,14.7282,15.0113,14.8306,14.6774,14.6766,14.7028,10.1742,11.1742,1
447,14.6514,14.9037,14.7943,14.6162,14.6353,14.5637,10.1742,11.1742,1
468,14.5768,14.6077,14.6441,14.5179,14.4914,14.4037,10.1742,11.1742,1
488,14.5175,14.5271,14.5088,14.4929,14.4305,14.3542,10.1742,11.1742,1
512,14.4529,14.4376,14.4486,14.4251,14.3637,14.3237,10.1742,11.1742,1
